#,Date-Time (CET/CEST),Temp,Light,Button Down,Button Up,Host Connected,End of File
1,07/01/2023 08:00:00,12.44,6.97,,,,
2,07/01/2023 09:00:00,10.89,1.01,,,,
3,07/01/2023 10:00:00,12.18,708.48,,,,
4,07/01/2023 11:00:00,13.94,7150.08,,,,
5,07/01/2023 12:00:00,11.28,19.46,,,,
6,07/01/2023 13:00:00,12.48,84.12,,,,
7,07/01/2023 14:00:00,14.07,8975.36,,,,
8,07/01/2023 15:00:00,13.51,11.83,,,,
9,07/01/2023 16:00:00,11.28,10.79,,,,
10,07/01/2023 17:00:00,9.31,7.93,,,,
11,07/01/2023 18:00:00,6.82,1665.92,,,,
12,07/01/2023 19:00:00,6.43,1173.76,,,,
13,07/01/2023 20:00:00,5.36,0.40,,,,
14,07/01/2023 21:00:00,5.79,14.25,,,,
15,07/01/2023 22:00:00,6.17,8.54,,,,
16,07/01/2023 23:00:00,5.87,8.54,,,,
17,07/02/2023 00:00:00,5.70,8.74,,,,
18,07/02/2023 01:00:00,5.32,3.66,,,,
19,07/02/2023 02:00:00,5.36,9.17,,,,
20,07/02/2023 03:00:00,5.75,27.30,,,,
21,07/02/2023 04:00:00,6.13,22.85,,,,
22,07/02/2023 05:00:00,6.52,30.18,,,,
23,07/02/2023 06:00:00,7.25,47.26,,,,
24,07/02/2023 07:00:00,7.29,30.18,,,,
25,07/02/2023 08:00:00,6.35,21.99,,,,
26,07/02/2023 09:00:00,5.66,451.68,,,,
27,07/02/2023 10:00:00,7.33,367.68,,,,
28,07/02/2023 11:00:00,9.52,100.28,,,,
29,07/02/2023 12:00:00,17.24,7887.36,,,,
30,07/02/2023 13:00:00,18.32,130.92,,,,
31,07/02/2023 14:00:00,16.08,2.24,,,,
32,07/02/2023 15:00:00,10.81,3.28,,,,
33,07/02/2023 16:00:00,8.53,6.19,,,,
34,07/02/2023 17:00:00,8.06,193.28,,,,
35,07/02/2023 18:00:00,7.63,507.52,,,,
36,07/02/2023 19:00:00,6.95,0.20,,,,
37,07/02/2023 20:00:00,8.83,0.80,,,,
38,07/02/2023 21:00:00,7.50,465.92,,,,
39,07/02/2023 22:00:00,7.46,0.00,,,,
40,07/02/2023 23:00:00,6.95,0.00,,,,
41,07/03/2023 00:00:00,8.02,0.00,,,,
42,07/03/2023 01:00:00,8.11,0.00,,,,
43,07/03/2023 02:00:00,7.81,0.00,,,,
44,07/03/2023 03:00:00,7.55,0.00,,,,
45,07/03/2023 04:00:00,7.55,0.00,,,,
