lat;lon;time;Sample_ID
70.312507040798664;30.084909992292523;2023-07-01T08:39:15Z;KO_11_C_D
70.313376998528838;30.088642034679651;2023-07-01T09:59:30Z;KO_11_C_U
70.306323040276766;30.105300983414054;2023-07-06T16:05:37Z;KO_13_C_D
70.306743979454041;30.104056019335985;2023-07-06T16:22:12Z;KO_13_C_U
70.293992003425956;30.167348021641374;2023-07-06T13:24:04Z;KO_15_S_D
70.295058013871312;30.154057005420327;2023-07-06T13:40:15Z;KO_15_S_U
70.291156992316246;30.182956969365478;2023-07-07T10:36:53Z;KO_16_S_D
70.289601981639862;30.17997401766479;2023-07-07T11:30:51Z;KO_16_S_U
70.29120703227818;30.185874039307237;2023-07-07T13:35:35Z;KO_17_C_D
70.289172995835543;30.188057022169232;2023-07-07T13:26:10Z;KO_17_C_U
70.327000021934509;29.981370018795133;2023-07-03T13:34:03Z;KO_1_S_D
70.325145022943616;30.008152965456247;2023-07-02T15:43:49Z;KO_4_S_D
70.326055968180299;30.011289976537228;2023-07-02T16:16:56Z;KO_4_S_U
70.32128700055182;30.008343989029527;2023-07-01T16:32:59Z;KO_5_C_D
70.321701988577843;30.006849998608232;2023-07-01T16:42:25Z;KO_5_C_U
70.320210009813309;30.009355014190078;2023-07-01T15:36:18Z;KO_6_C_D
70.320196012035012;30.006383964791894;2023-07-01T15:29:37Z;KO_6_C_U
70.31553;30.05648;2023-07-02T18:14:03Z;KO_8_S_D
70.31648;30.05142;2023-07-02T19:01:30Z;KO_8_S_U
70.312779033556581;30.068446006625891;2023-07-01T13:27:51Z;KO_9_S_D
70.312777021899819;30.060889972373843;2023-07-01T13:15:10Z;KO_9_S_U
