#,Date-Time (CET/CEST),Temp,Light,Button Down,Button Up,Host Connected,End of File
1,07/01/2023 08:00:00,9.82,1.29,,,,
2,07/01/2023 09:00:00,11.62,0.86,,,,
3,07/01/2023 10:00:00,13.55,1427.20,,,,
4,07/01/2023 11:00:00,16.30,870.08,,,,
5,07/01/2023 12:00:00,13.81,2.61,,,,
6,07/01/2023 13:00:00,11.37,20.21,,,,
7,07/01/2023 14:00:00,14.41,422.56,,,,
8,07/01/2023 15:00:00,7.72,78.10,,,,
9,07/01/2023 16:00:00,7.46,57.72,,,,
10,07/01/2023 17:00:00,6.90,40.32,,,,
11,07/01/2023 18:00:00,6.56,40.75,,,,
12,07/01/2023 19:00:00,6.17,25.79,,,,
13,07/01/2023 20:00:00,5.83,11.48,,,,
14,07/01/2023 21:00:00,5.45,7.35,,,,
15,07/01/2023 22:00:00,5.15,6.03,,,,
16,07/01/2023 23:00:00,4.89,5.17,,,,
17,07/02/2023 00:00:00,4.72,4.95,,,,
18,07/02/2023 01:00:00,4.42,2.15,,,,
19,07/02/2023 02:00:00,4.37,6.49,,,,
20,07/02/2023 03:00:00,4.42,19.08,,,,
21,07/02/2023 04:00:00,4.46,15.60,,,,
22,07/02/2023 05:00:00,4.50,20.59,,,,
23,07/02/2023 06:00:00,4.72,31.21,,,,
24,07/02/2023 07:00:00,4.76,19.94,,,,
25,07/02/2023 08:00:00,4.37,14.52,,,,
26,07/02/2023 09:00:00,3.69,255.28,,,,
27,07/02/2023 10:00:00,4.89,56.38,,,,
28,07/02/2023 11:00:00,5.27,23.42,,,,
29,07/02/2023 12:00:00,5.83,95.52,,,,
30,07/02/2023 13:00:00,6.82,79.40,,,,
31,07/02/2023 14:00:00,7.29,61.18,,,,
32,07/02/2023 15:00:00,7.16,34.71,,,,
33,07/02/2023 16:00:00,6.65,22.12,,,,
34,07/02/2023 17:00:00,6.30,14.07,,,,
35,07/02/2023 18:00:00,6.00,11.05,,,,
36,07/02/2023 19:00:00,5.79,11.48,,,,
37,07/02/2023 20:00:00,5.70,12.34,,,,
38,07/02/2023 21:00:00,5.57,4.74,,,,
39,07/02/2023 22:00:00,5.32,2.37,,,,
40,07/02/2023 23:00:00,5.23,1.50,,,,
