#,Date-Time (CET/CEST),Temp,Light,Host Connected,Button Down,Button Up,End of File
1,06/22/2023 10:23:45,,,Logged,,,
2,06/22/2023 11:00:00,26.30,86.00,,,,
3,06/22/2023 12:00:00,27.75,192.80,,,,
4,06/22/2023 13:00:00,28.18,38.25,,,,
5,06/22/2023 14:00:00,27.67,23.66,,,,
6,06/22/2023 15:00:00,27.28,22.04,,,,
7,06/22/2023 16:00:00,26.90,20.64,,,,
8,06/22/2023 17:00:00,26.55,20.45,,,,
9,06/22/2023 18:00:00,26.25,22.24,,,,
10,06/22/2023 19:00:00,26.12,4.50,,,,
11,06/22/2023 20:00:00,25.91,3.91,,,,
12,06/22/2023 21:00:00,25.78,2.93,,,,
13,06/22/2023 22:00:00,25.52,1.76,,,,
14,06/22/2023 23:00:00,25.35,1.37,,,,
15,06/23/2023 00:00:00,25.09,1.56,,,,
16,06/23/2023 01:00:00,24.79,1.17,,,,
17,06/23/2023 02:00:00,24.58,1.56,,,,
18,06/23/2023 03:00:00,24.41,2.15,,,,
19,06/23/2023 04:00:00,24.28,4.31,,,,
20,06/23/2023 05:00:00,24.19,4.72,,,,
21,06/23/2023 06:00:00,24.19,7.25,,,,
22,06/23/2023 07:00:00,24.11,6.29,,,,
23,06/23/2023 08:00:00,24.02,16.33,,,,
24,06/23/2023 09:00:00,24.24,20.28,,,,
25,06/23/2023 10:00:00,22.56,2.76,,,,
26,06/23/2023 11:00:00,20.55,2.37,,,,
27,06/23/2023 12:00:00,21.06,19.05,,,,
28,06/23/2023 13:00:00,25.87,1276.80,,,,
29,06/23/2023 14:00:00,24.15,0.00,,,,
30,06/23/2023 15:00:00,24.19,0.58,,,,
31,06/23/2023 16:00:00,24.58,53.24,,,,
32,06/23/2023 17:00:00,24.75,32.72,,,,
33,06/23/2023 18:00:00,24.71,23.66,,,,
34,06/23/2023 19:00:00,24.54,17.14,,,,
35,06/23/2023 20:00:00,24.24,9.23,,,,
36,06/23/2023 21:00:00,24.02,5.29,,,,
37,06/23/2023 22:00:00,23.76,3.94,,,,
38,06/23/2023 23:00:00,23.64,2.74,,,,
39,06/24/2023 00:00:00,23.42,0.97,,,,
40,06/24/2023 01:00:00,23.25,1.37,,,,
41,06/24/2023 02:00:00,23.12,2.54,,,,
42,06/24/2023 03:00:00,22.99,1.56,,,,
43,06/24/2023 04:00:00,22.86,2.35,,,,
44,06/24/2023 05:00:00,22.78,5.48,,,,
45,06/24/2023 06:00:00,22.73,8.84,,,,
46,06/24/2023 07:00:00,22.69,6.09,,,,
47,06/24/2023 08:00:00,22.82,8.25,,,,
48,06/24/2023 09:00:00,22.91,11.61,,,,
49,06/24/2023 10:00:00,22.95,14.76,,,,
50,06/24/2023 11:00:00,23.03,16.33,,,,
51,06/24/2023 12:00:00,23.21,15.35,,,,
