#,Date-Time (CET/CEST),Temp,Light,Button Down,Button Up,Host Connected,End of File
1,07/01/2023 08:00:00,9.56,0.21,,,,
2,07/01/2023 09:00:00,10.72,1.90,,,,
3,07/01/2023 10:00:00,15.14,1843.20,,,,
4,07/01/2023 11:00:00,16.08,2920.96,,,,
5,07/01/2023 12:00:00,12.82,3.60,,,,
6,07/01/2023 13:00:00,11.97,27.43,,,,
7,07/01/2023 14:00:00,14.50,400.32,,,,
8,07/01/2023 15:00:00,12.87,27.90,,,,
9,07/01/2023 16:00:00,10.68,3.17,,,,
10,07/01/2023 17:00:00,9.56,559.20,,,,
11,07/01/2023 18:00:00,6.56,54.90,,,,
12,07/01/2023 19:00:00,6.30,34.42,,,,
13,07/01/2023 20:00:00,5.96,19.30,,,,
14,07/01/2023 21:00:00,5.66,5.93,,,,
15,07/01/2023 22:00:00,5.40,7.62,,,,
16,07/01/2023 23:00:00,5.10,7.41,,,,
17,07/02/2023 00:00:00,4.84,2.33,,,,
18,07/02/2023 01:00:00,4.59,2.33,,,,
19,07/02/2023 02:00:00,4.37,3.60,,,,
20,07/02/2023 03:00:00,4.37,12.92,,,,
21,07/02/2023 04:00:00,4.33,11.01,,,,
22,07/02/2023 05:00:00,4.24,13.13,,,,
23,07/02/2023 06:00:00,4.42,21.20,,,,
24,07/02/2023 07:00:00,4.33,8.89,,,,
25,07/02/2023 08:00:00,4.03,10.37,,,,
26,07/02/2023 09:00:00,3.69,86.00,,,,
27,07/02/2023 10:00:00,4.59,18.03,,,,
28,07/02/2023 11:00:00,4.76,15.03,,,,
29,07/02/2023 12:00:00,5.45,51.10,,,,
30,07/02/2023 13:00:00,5.87,63.86,,,,
31,07/02/2023 14:00:00,6.43,57.02,,,,
32,07/02/2023 15:00:00,6.48,24.20,,,,
33,07/02/2023 16:00:00,6.26,15.46,,,,
34,07/02/2023 17:00:00,6.09,8.89,,,,
35,07/02/2023 18:00:00,5.92,5.71,,,,
36,07/02/2023 19:00:00,5.83,12.70,,,,
37,07/02/2023 20:00:00,5.75,6.77,,,,
38,07/02/2023 21:00:00,5.53,3.38,,,,
39,07/02/2023 22:00:00,5.40,1.69,,,,
