#,Date-Time (CET/CEST),Temp,Light,Button Down,Button Up,Host Connected,End of File
1,06/22/2023 11:00:00,26.25,185.44,,,,
2,06/22/2023 12:00:00,27.45,310.48,,,,
3,06/22/2023 13:00:00,27.84,89.16,,,,
4,06/22/2023 14:00:00,27.45,66.56,,,,
5,06/22/2023 15:00:00,26.98,63.12,,,,
6,06/22/2023 16:00:00,26.68,59.62,,,,
7,06/22/2023 17:00:00,26.42,64.78,,,,
8,06/22/2023 18:00:00,26.12,88.96,,,,
9,06/22/2023 19:00:00,25.99,11.01,,,,
10,06/22/2023 20:00:00,25.82,9.29,,,,
11,06/22/2023 21:00:00,25.61,7.11,,,,
12,06/22/2023 22:00:00,25.39,4.51,,,,
13,06/22/2023 23:00:00,25.18,3.65,,,,
14,06/23/2023 00:00:00,24.92,3.68,,,,
15,06/23/2023 01:00:00,24.71,3.00,,,,
16,06/23/2023 02:00:00,24.45,3.46,,,,
17,06/23/2023 03:00:00,24.24,6.25,,,,
18,06/23/2023 04:00:00,24.11,11.22,,,,
19,06/23/2023 05:00:00,24.11,12.94,,,,
20,06/23/2023 06:00:00,24.02,17.70,,,,
21,06/23/2023 07:00:00,24.02,16.84,,,,
22,06/23/2023 08:00:00,23.98,41.94,,,,
23,06/23/2023 09:00:00,24.19,51.02,,,,
24,06/23/2023 10:00:00,21.96,1.93,,,,
25,06/23/2023 11:00:00,19.77,2.82,,,,
26,06/23/2023 12:00:00,20.29,21.43,,,,
27,06/23/2023 13:00:00,25.61,99.68,,,,
28,06/23/2023 14:00:00,23.34,0.00,,,,
29,06/23/2023 15:00:00,24.11,1.71,,,,
30,06/23/2023 16:00:00,24.49,27.23,,,,
31,06/23/2023 17:00:00,24.66,16.22,,,,
32,06/23/2023 18:00:00,24.62,11.65,,,,
33,06/23/2023 19:00:00,24.45,8.40,,,,
34,06/23/2023 20:00:00,24.19,3.89,,,,
35,06/23/2023 21:00:00,24.02,2.36,,,,
36,06/23/2023 22:00:00,23.76,1.93,,,,
37,06/23/2023 23:00:00,23.55,1.71,,,,
38,06/24/2023 00:00:00,23.38,0.21,,,,
39,06/24/2023 01:00:00,23.16,0.42,,,,
40,06/24/2023 02:00:00,23.08,0.85,,,,
41,06/24/2023 03:00:00,22.95,0.64,,,,
42,06/24/2023 04:00:00,22.82,0.85,,,,
43,06/24/2023 05:00:00,22.73,2.14,,,,
44,06/24/2023 06:00:00,22.69,4.08,,,,
45,06/24/2023 07:00:00,22.69,2.79,,,,
46,06/24/2023 08:00:00,22.82,3.86,,,,
47,06/24/2023 09:00:00,22.91,5.18,,,,
48,06/24/2023 10:00:00,22.99,7.11,,,,
49,06/24/2023 11:00:00,23.08,7.76,,,,
50,06/24/2023 12:00:00,23.21,7.11,,,,
51,06/24/2023 13:00:00,23.25,14.04,,,,
52,06/24/2023 14:00:00,23.38,16.22,,,,
53,06/24/2023 15:00:00,23.38,5.82,,,,
54,06/24/2023 16:00:00,23.34,4.96,,,,
55,06/24/2023 17:00:00,23.25,8.83,,,,
56,06/24/2023 18:00:00,23.16,4.08,,,,
57,06/24/2023 19:00:00,23.12,4.96,,,,
58,06/24/2023 20:00:00,23.03,0.64,,,,
59,06/24/2023 21:00:00,22.91,0.85,,,,
60,06/24/2023 22:00:00,22.82,0.21,,,,
61,06/24/2023 23:00:00,22.61,0.00,,,,
62,06/25/2023 00:00:00,22.48,0.00,,,,
63,06/25/2023 01:00:00,22.31,0.00,,,,
64,06/25/2023 02:00:00,22.22,0.42,,,,
65,06/25/2023 03:00:00,22.13,0.00,,,,
66,06/25/2023 04:00:00,22.09,0.21,,,,
67,06/25/2023 05:00:00,22.05,1.93,,,,
68,06/25/2023 06:00:00,22.01,2.79,,,,
69,06/25/2023 07:00:00,22.05,4.75,,,,
70,06/25/2023 08:00:00,22.18,2.57,,,,
71,06/25/2023 09:00:00,22.31,11.01,,,,
72,06/25/2023 10:00:00,22.56,7.76,,,,
73,06/25/2023 11:00:00,22.69,10.58,,,,
74,06/25/2023 12:00:00,22.78,15.55,,,,
75,06/25/2023 13:00:00,22.91,7.76,,,,
76,06/25/2023 14:00:00,22.95,14.90,,,,
77,06/25/2023 15:00:00,23.12,11.44,,,,
78,06/25/2023 16:00:00,23.16,11.22,,,,
79,06/25/2023 17:00:00,23.21,17.72,,,,
80,06/25/2023 18:00:00,23.29,11.01,,,,
81,06/25/2023 19:00:00,23.34,11.44,,,,
82,06/25/2023 20:00:00,23.29,7.54,,,,
83,06/25/2023 21:00:00,23.25,4.08,,,,
84,06/25/2023 22:00:00,23.08,1.28,,,,
85,06/25/2023 23:00:00,22.86,0.85,,,,
86,06/26/2023 00:00:00,22.61,0.42,,,,
87,06/26/2023 01:00:00,22.35,1.28,,,,
88,06/26/2023 02:00:00,22.26,1.28,,,,
89,06/26/2023 03:00:00,22.18,1.71,,,,
90,06/26/2023 04:00:00,22.01,3.43,,,,
91,06/26/2023 05:00:00,21.92,6.04,,,,
92,06/26/2023 06:00:00,21.96,14.93,,,,
93,06/26/2023 07:00:00,22.35,19.04,,,,
94,06/26/2023 08:00:00,23.03,41.14,,,,
95,06/26/2023 09:00:00,24.36,77.14,,,,
96,06/26/2023 10:00:00,26.60,238.24,,,,
97,06/26/2023 11:00:00,28.61,417.28,,,,
98,06/26/2023 12:00:00,29.77,82.16,,,,
99,06/26/2023 13:00:00,27.93,30.67,,,,
100,06/26/2023 14:00:00,26.81,22.67,,,,
101,06/26/2023 15:00:00,25.95,3.46,,,,
102,06/26/2023 16:00:00,25.39,2.79,,,,
103,06/26/2023 17:00:00,24.97,2.14,,,,
104,06/26/2023 18:00:00,24.66,1.93,,,,
105,06/26/2023 19:00:00,24.32,1.71,,,,
106,06/26/2023 20:00:00,24.15,1.50,,,,
107,06/26/2023 21:00:00,23.94,1.07,,,,
108,06/26/2023 22:00:00,23.68,0.85,,,,
109,06/26/2023 23:00:00,23.38,0.42,,,,
110,06/27/2023 00:00:00,23.12,0.00,,,,
111,06/27/2023 01:00:00,22.78,0.00,,,,
112,06/27/2023 02:00:00,22.56,0.21,,,,
113,06/27/2023 03:00:00,22.39,0.64,,,,
114,06/27/2023 04:00:00,22.26,1.28,,,,
