#,Date-Time (CET/CEST),Temp,Light,Button Down,Button Up,Host Connected,End of File
1,07/01/2023 08:00:00,13.47,8.59,,,,
2,07/01/2023 09:00:00,11.02,4.92,,,,
3,07/01/2023 10:00:00,11.24,169.52,,,,
4,07/01/2023 11:00:00,12.57,2265.60,,,,
5,07/01/2023 12:00:00,10.77,13.39,,,,
6,07/01/2023 13:00:00,13.00,649.60,,,,
7,07/01/2023 14:00:00,14.03,3008.00,,,,
8,07/01/2023 15:00:00,13.51,163.36,,,,
9,07/01/2023 16:00:00,10.46,23.10,,,,
10,07/01/2023 17:00:00,10.25,48.44,,,,
11,07/01/2023 18:00:00,7.20,1067.20,,,,
12,07/01/2023 19:00:00,6.69,528.64,,,,
13,07/01/2023 20:00:00,5.53,0.42,,,,
14,07/01/2023 21:00:00,5.10,26.14,,,,
15,07/01/2023 22:00:00,4.63,17.51,,,,
16,07/01/2023 23:00:00,4.20,20.74,,,,
17,07/02/2023 00:00:00,3.94,23.72,,,,
18,07/02/2023 01:00:00,3.43,10.01,,,,
19,07/02/2023 02:00:00,3.77,23.10,,,,
20,07/02/2023 03:00:00,4.59,69.00,,,,
21,07/02/2023 04:00:00,5.10,58.66,,,,
22,07/02/2023 05:00:00,5.66,83.04,,,,
23,07/02/2023 06:00:00,7.03,123.40,,,,
24,07/02/2023 07:00:00,6.39,80.60,,,,
25,07/02/2023 08:00:00,4.33,58.66,,,,
26,07/02/2023 09:00:00,4.76,1120.32,,,,
27,07/02/2023 10:00:00,7.81,778.56,,,,
28,07/02/2023 11:00:00,9.86,212.72,,,,
29,07/02/2023 12:00:00,17.50,977.92,,,,
30,07/02/2023 13:00:00,20.16,237.84,,,,
31,07/02/2023 14:00:00,17.33,36.10,,,,
32,07/02/2023 15:00:00,12.22,2.12,,,,
33,07/02/2023 16:00:00,8.88,6.04,,,,
34,07/02/2023 17:00:00,8.36,594.56,,,,
35,07/02/2023 18:00:00,7.76,199.92,,,,
36,07/02/2023 19:00:00,7.20,0.00,,,,
37,07/02/2023 20:00:00,9.39,0.00,,,,
38,07/02/2023 21:00:00,6.35,5.13,,,,
39,07/02/2023 22:00:00,4.29,3.83,,,,
40,07/02/2023 23:00:00,4.20,3.19,,,,
41,07/03/2023 00:00:00,4.03,3.40,,,,
42,07/03/2023 01:00:00,4.03,8.09,,,,
43,07/03/2023 02:00:00,3.90,18.79,,,,
44,07/03/2023 03:00:00,3.82,34.66,,,,
45,07/03/2023 04:00:00,3.90,89.88,,,,
46,07/03/2023 05:00:00,4.20,193.60,,,,
47,07/03/2023 06:00:00,4.72,226.16,,,,
