#,Date-Time (CET/CEST),Temp,Light,Button Down,Button Up,Host Connected,End of File
1,07/01/2023 08:00:00,11.15,0.41,,,,
2,07/01/2023 09:00:00,11.49,0.85,,,,
3,07/01/2023 10:00:00,11.28,334.72,,,,
4,07/01/2023 11:00:00,12.65,487.36,,,,
5,07/01/2023 12:00:00,12.05,0.41,,,,
6,07/01/2023 13:00:00,12.57,48.84,,,,
7,07/01/2023 14:00:00,12.78,205.28,,,,
8,07/01/2023 15:00:00,13.47,199.76,,,,
9,07/01/2023 16:00:00,11.67,8.50,,,,
10,07/01/2023 17:00:00,10.55,10.06,,,,
11,07/01/2023 18:00:00,7.20,117.44,,,,
12,07/01/2023 19:00:00,6.90,74.64,,,,
13,07/01/2023 20:00:00,5.10,0.41,,,,
14,07/01/2023 21:00:00,5.70,16.96,,,,
15,07/01/2023 22:00:00,6.43,10.24,,,,
16,07/01/2023 23:00:00,6.35,12.77,,,,
17,07/02/2023 00:00:00,6.17,15.47,,,,
18,07/02/2023 01:00:00,5.92,5.43,,,,
19,07/02/2023 02:00:00,5.79,14.43,,,,
20,07/02/2023 03:00:00,6.05,46.52,,,,
21,07/02/2023 04:00:00,6.39,37.30,,,,
22,07/02/2023 05:00:00,6.69,55.52,,,,
23,07/02/2023 06:00:00,7.33,81.72,,,,
24,07/02/2023 07:00:00,7.55,54.26,,,,
25,07/02/2023 08:00:00,7.16,37.51,,,,
26,07/02/2023 09:00:00,6.48,558.56,,,,
27,07/02/2023 10:00:00,7.72,347.04,,,,
28,07/02/2023 11:00:00,9.56,85.04,,,,
29,07/02/2023 12:00:00,13.43,2120.96,,,,
30,07/02/2023 13:00:00,14.33,397.44,,,,
31,07/02/2023 14:00:00,16.30,6.58,,,,
32,07/02/2023 15:00:00,12.52,2.10,,,,
33,07/02/2023 16:00:00,9.39,0.62,,,,
34,07/02/2023 17:00:00,8.36,74.60,,,,
35,07/02/2023 18:00:00,7.72,84.16,,,,
